model_name,model_size,fine_tuned_dataset,fine_tuned_language,eval_dataset,eval_language,regime,score_mean,score_std,score_base_mean,score_base_std,score_norm_mean,score_norm_std,score_norm_base_mean,score_norm_base_std,delta_score_mean,delta_score_std,delta_score_norm_mean,delta_score_norm_std,n_seeds,score_se,score_base_se,score_norm_se,score_norm_base_se,delta_score_se,delta_score_norm_se
Llama-3.1-8B-Instruct,8.0,arc_challenge,ar,arc_challenge,ar,MT-ML,0.3258333333333333,0.0180854453451756,0.3216666666666667,0.0202072594216369,0.3541666666666667,0.0269644828122723,0.3508333333333333,0.0317542648054293,0.416666666666667,0.6291528696058964,0.3333333333333336,0.6291528696058964,3,0.0104416367384514,0.0116666666666666,0.0155679514102244,0.0183333333333333,0.3632415786283898,0.3632415786283898
Llama-3.1-8B-Instruct,8.0,arc_challenge,ar,arc_challenge,bn,MT-CL,0.2358333333333333,0.0203613195381177,0.2383333333333333,0.0180854453451755,0.3075,0.0114564392373896,0.3125,0.0152069063257455,-0.2500000000000002,0.2500000000000002,-0.5000000000000004,0.6614378277661482,3,0.0117556133163882,0.0104416367384513,0.0066143782776614,0.0087797114607106,0.1443375672974065,0.381881307912987
Llama-3.1-8B-Instruct,8.0,arc_challenge,ar,arc_challenge,de,MT-CL,0.3933333333333333,0.0125830573921179,0.3833333333333333,0.0038188130791298,0.4508333333333333,0.0305505046330389,0.4358333333333333,0.0190940653956493,1.0000000000000009,1.1456439237389608,1.4999999999999991,1.9525624189766624,3,0.0072648315725677,0.0022047927592205,0.0176383420737639,0.0110239637961024,0.6614378277661481,1.127312438205723
Llama-3.1-8B-Instruct,8.0,arc_challenge,ar,arc_challenge,en,MT-CL,0.5133333333333333,0.0224072160995812,0.515,0.0241091269024823,0.5575,0.0213600093632938,0.5516666666666666,0.0212622513702884,-0.1666666666666668,0.2886751345948131,0.583333333333332,0.2886751345948067,3,0.0129368122468833,0.013919410907075,0.0123322071557906,0.0122757665522135,0.1666666666666668,0.1666666666666631
Llama-3.1-8B-Instruct,8.0,arc_challenge,ar,arc_challenge,es,MT-CL,0.42,0.0217944947177033,0.4133333333333333,0.0212622513702884,0.4591666666666666,0.0158771324027146,0.4441666666666666,0.0237609623823054,0.6666666666666654,0.6291528696058938,1.4999999999999991,1.3228756555322976,3,0.0125830573921179,0.0122757665522135,0.0091666666666666,0.0137183980276286,0.3632415786283883,0.7637626158259747
Llama-3.1-8B-Instruct,8.0,arc_challenge,ar,arc_challenge,fr,MT-CL,0.4108333333333333,0.0187638837486628,0.4141666666666666,0.0160727512683215,0.4483333333333333,0.0125830573921179,0.4375,0.0173205080756887,-0.3333333333333317,0.3818813079129839,1.083333333333334,1.040832999733067,3,0.0108333333333333,0.0092796072713833,0.0072648315725677,0.01,0.2204792759220476,0.6009252125773319
Llama-3.1-8B-Instruct,8.0,arc_challenge,ar,arc_challenge,hi,MT-CL,0.2791666666666666,0.0177364972114939,0.2675,0.0175,0.3091666666666666,0.0028867513459481,0.3,0.005,1.166666666666664,0.8779711460710626,0.9166666666666676,0.763762615825974,3,0.010240171439537,0.0101036297108184,0.0016666666666666,0.0028867513459481,0.5068968775248522,0.4409585518440989
Llama-3.1-8B-Instruct,8.0,arc_challenge,ar,arc_challenge,id,MT-CL,0.3558333333333333,0.0215541952606292,0.3424999999999999,0.0198431348329844,0.3825,0.0270416345659799,0.3799999999999999,0.0288314064866769,1.3333333333333346,0.3818813079129871,0.2500000000000002,0.5000000000000004,3,0.01244432043589,0.0114564392373896,0.0156124949959959,0.0166458202961984,0.2204792759220494,0.2886751345948131
Llama-3.1-8B-Instruct,8.0,arc_challenge,ar,arc_challenge,it,MT-CL,0.4041666666666666,0.0364291549906573,0.3974999999999999,0.0238484800354236,0.4524999999999999,0.0114564392373896,0.4358333333333333,0.0062915286960589,0.6666666666666673,1.3768926368215266,1.666666666666668,1.181453906563153,3,0.0210323824402066,0.0137689263682152,0.0066143782776614,0.0036324157862839,0.7949493345141221,0.6821127309893714
Llama-3.1-8B-Instruct,8.0,arc_challenge,ar,arc_challenge,pt,MT-CL,0.4325,0.0319178633370092,0.4133333333333333,0.0158771324027146,0.4641666666666666,0.0166458202961984,0.4541666666666666,0.0104083299973306,1.916666666666668,2.268442931469368,0.9999999999999992,0.9013878188659952,3,0.0184277869895799,0.0091666666666666,0.0096104688288923,0.0060092521257733,1.3096861371251436,0.5204164998665319
